type,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,distance_to_center,floor-area-estimate
Studio,False,30,4th,0,1,True,True,False,True,True,True,False,False,True,False,False,False,"luis cabrera, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.136607421593976,22.5
Flat,False,148,5th,3,2,True,True,True,True,True,True,True,True,False,False,True,False,"Calle de Pastora Imperio, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,7.638725322297673,111.0
Flat,False,65,1st,3,1,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.588908448217964,55.0
Flat,False,50,4th,1,1,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.588908448217964,40.0
Flat,False,28,ground,1,1,True,True,False,True,True,False,True,False,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,24.0
Flat,False,35,2nd,1,1,True,True,False,True,True,True,True,False,False,False,True,False,"Calle Martín Martínez, 4, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.25890998766356,26.25
Flat,True,70,1st,2,1,True,True,False,True,True,True,True,True,False,False,True,False,"Avenida de Alberto de Alcocer, 41, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.0674368100869716,52.5
Flat,False,86,1st,3,1,True,True,False,True,True,True,True,False,False,False,False,False,"Calle de Costa Rica, 24, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.272158458934884,64.5
Flat,False,80,1st,2,1,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de Pradillo, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.455293592388031,70.0
Flat,False,70,2nd,2,2,True,True,False,True,True,True,True,False,False,False,False,False,"Calle del General Zabala, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.805815167318457,52.5
